"","X","Y","count","label"
"1",5,895,4,"r1"
"2",15,895,10,"r1"
"3",25,895,7,"r1"
"4",35,895,3,"r1"
"5",45,895,6,"r1"
"6",55,895,5,"r1"
"7",65,895,3,"r1"
"8",75,895,3,"r1"
"9",85,895,3,"r1"
"10",95,895,9,"r1"
"11",105,895,7,"r1"
"12",115,895,7,"r1"
"13",125,895,7,"r1"
"14",135,895,4,"r1"
"15",145,895,6,"r1"
"16",155,895,2,"r1"
"17",165,895,7,"r1"
"18",175,895,2,"r1"
"19",185,895,9,"r1"
"20",195,895,10,"r1"
"21",205,895,3,"r1"
"22",215,895,8,"r1"
"23",225,895,4,"r1"
"24",235,895,3,"r1"
"25",245,895,8,"r1"
"26",255,895,3,"r1"
"27",265,895,9,"r1"
"28",275,895,6,"r1"
"29",285,895,5,"r1"
"30",295,895,8,"r1"
"31",305,895,5,"r1"
"32",315,895,4,"r1"
"33",325,895,4,"r1"
"34",335,895,10,"r1"
"35",345,895,10,"r1"
"36",355,895,1,"r1"
"37",365,895,7,"r1"
"38",375,895,3,"r1"
"39",385,895,6,"r1"
"40",395,895,4,"r1"
"41",405,895,6,"r1"
"42",415,895,3,"r1"
"43",425,895,1,"r1"
"44",435,895,8,"r1"
"45",445,895,3,"r1"
"46",455,895,1,"r1"
"47",465,895,5,"r1"
"48",475,895,9,"r1"
"49",485,895,5,"r1"
"50",495,895,10,"r1"
"51",505,895,4,"r1"
"52",515,895,3,"r1"
"53",525,895,2,"r1"
"54",535,895,3,"r1"
"55",545,895,1,"r1"
"56",555,895,2,"r1"
"57",565,895,7,"r1"
"58",575,895,4,"r1"
"59",585,895,4,"r1"
"60",595,895,4,"r1"
"61",605,895,3,"r1"
"62",615,895,5,"r1"
"63",625,895,8,"r1"
"64",635,895,7,"r1"
"65",645,895,5,"r1"
"66",655,895,5,"r1"
"67",665,895,2,"r1"
"68",675,895,6,"r1"
"69",685,895,9,"r1"
"70",695,895,10,"r1"
"71",705,895,5,"r1"
"72",715,895,2,"r1"
"73",725,895,6,"r1"
"74",735,895,9,"r1"
"75",745,895,5,"r1"
"76",755,895,7,"r1"
"77",765,895,4,"r1"
"78",775,895,9,"r1"
"79",785,895,1,"r1"
"80",795,895,5,"r1"
"81",805,895,2,"r1"
"82",815,895,10,"r1"
"83",825,895,2,"r1"
"84",835,895,5,"r1"
"85",845,895,7,"r1"
"86",855,895,7,"r1"
"87",865,895,4,"r1"
"88",875,895,2,"r1"
"89",885,895,3,"r1"
"90",895,895,6,"r1"
"91",5,885,6,"r1"
"92",15,885,9,"r1"
"93",25,885,7,"r1"
"94",35,885,7,"r1"
"95",45,885,9,"r1"
"96",55,885,8,"r1"
"97",65,885,6,"r1"
"98",75,885,9,"r1"
"99",85,885,2,"r1"
"100",95,885,1,"r1"
"101",105,885,7,"r1"
"102",115,885,5,"r1"
"103",125,885,4,"r1"
"104",135,885,5,"r1"
"105",145,885,6,"r1"
"106",155,885,9,"r1"
"107",165,885,4,"r1"
"108",175,885,8,"r1"
"109",185,885,6,"r1"
"110",195,885,5,"r1"
"111",205,885,3,"r1"
"112",215,885,1,"r1"
"113",225,885,3,"r1"
"114",235,885,5,"r1"
"115",245,885,10,"r1"
"116",255,885,4,"r1"
"117",265,885,10,"r1"
"118",275,885,4,"r1"
"119",285,885,10,"r1"
"120",295,885,4,"r1"
"121",305,885,8,"r1"
"122",315,885,9,"r1"
"123",325,885,1,"r1"
"124",335,885,5,"r1"
"125",345,885,9,"r1"
"126",355,885,4,"r1"
"127",365,885,10,"r1"
"128",375,885,3,"r1"
"129",385,885,2,"r1"
"130",395,885,8,"r1"
"131",405,885,6,"r1"
"132",415,885,1,"r1"
"133",425,885,2,"r1"
"134",435,885,10,"r1"
"135",445,885,2,"r1"
"136",455,885,5,"r1"
"137",465,885,6,"r1"
"138",475,885,5,"r1"
"139",485,885,10,"r1"
"140",495,885,9,"r1"
"141",505,885,4,"r1"
"142",515,885,1,"r1"
"143",525,885,9,"r1"
"144",535,885,6,"r1"
"145",545,885,5,"r1"
"146",555,885,8,"r1"
"147",565,885,9,"r1"
"148",575,885,8,"r1"
"149",585,885,3,"r1"
"150",595,885,3,"r1"
"151",605,885,3,"r1"
"152",615,885,4,"r1"
"153",625,885,5,"r1"
"154",635,885,2,"r1"
"155",645,885,7,"r1"
"156",655,885,10,"r1"
"157",665,885,10,"r1"
"158",675,885,7,"r1"
"159",685,885,8,"r1"
"160",695,885,1,"r1"
"161",705,885,8,"r1"
"162",715,885,4,"r1"
"163",725,885,7,"r1"
"164",735,885,8,"r1"
"165",745,885,9,"r1"
"166",755,885,2,"r1"
"167",765,885,3,"r1"
"168",775,885,1,"r1"
"169",785,885,3,"r1"
"170",795,885,7,"r1"
"171",805,885,9,"r1"
"172",815,885,5,"r1"
"173",825,885,6,"r1"
"174",835,885,9,"r1"
"175",845,885,2,"r1"
"176",855,885,8,"r1"
"177",865,885,6,"r1"
"178",875,885,3,"r1"
"179",885,885,8,"r1"
"180",895,885,8,"r1"
"181",5,875,8,"r1"
"182",15,875,9,"r1"
"183",25,875,9,"r1"
"184",35,875,6,"r1"
"185",45,875,2,"r1"
"186",55,875,9,"r1"
"187",65,875,10,"r1"
"188",75,875,8,"r1"
"189",85,875,9,"r1"
"190",95,875,4,"r1"
"191",105,875,7,"r1"
"192",115,875,9,"r1"
"193",125,875,5,"r1"
"194",135,875,3,"r1"
"195",145,875,6,"r1"
"196",155,875,6,"r1"
"197",165,875,10,"r1"
"198",175,875,1,"r1"
"199",185,875,2,"r1"
"200",195,875,6,"r1"
"201",205,875,10,"r1"
"202",215,875,10,"r1"
"203",225,875,9,"r1"
"204",235,875,9,"r1"
"205",245,875,6,"r1"
"206",255,875,9,"r1"
"207",265,875,10,"r1"
"208",275,875,2,"r1"
"209",285,875,8,"r1"
"210",295,875,2,"r1"
"211",305,875,3,"r1"
"212",315,875,6,"r1"
"213",325,875,3,"r1"
"214",335,875,6,"r1"
"215",345,875,3,"r1"
"216",355,875,6,"r1"
"217",365,875,10,"r1"
"218",375,875,1,"r1"
"219",385,875,8,"r1"
"220",395,875,3,"r1"
"221",405,875,8,"r1"
"222",415,875,10,"r1"
"223",425,875,2,"r1"
"224",435,875,3,"r1"
"225",445,875,8,"r1"
"226",455,875,9,"r1"
"227",465,875,2,"r1"
"228",475,875,3,"r1"
"229",485,875,7,"r1"
"230",495,875,10,"r1"
"231",505,875,2,"r1"
"232",515,875,10,"r1"
"233",525,875,7,"r1"
"234",535,875,4,"r1"
"235",545,875,10,"r1"
"236",555,875,10,"r1"
"237",565,875,6,"r1"
"238",575,875,2,"r1"
"239",585,875,2,"r1"
"240",595,875,2,"r1"
"241",605,875,5,"r1"
"242",615,875,9,"r1"
"243",625,875,3,"r1"
"244",635,875,1,"r1"
"245",645,875,6,"r1"
"246",655,875,10,"r1"
"247",665,875,8,"r1"
"248",675,875,2,"r1"
"249",685,875,9,"r1"
"250",695,875,9,"r1"
"251",705,875,9,"r1"
"252",715,875,4,"r1"
"253",725,875,9,"r1"
"254",735,875,2,"r1"
"255",745,875,3,"r1"
"256",755,875,3,"r1"
"257",765,875,9,"r1"
"258",775,875,8,"r1"
"259",785,875,10,"r1"
"260",795,875,6,"r1"
"261",805,875,4,"r1"
"262",815,875,8,"r1"
"263",825,875,10,"r1"
"264",835,875,1,"r1"
"265",845,875,8,"r1"
"266",855,875,9,"r1"
"267",865,875,10,"r1"
"268",875,875,10,"r1"
"269",885,875,4,"r1"
"270",895,875,6,"r1"
"271",5,865,7,"r1"
"272",15,865,1,"r1"
"273",25,865,10,"r1"
"274",35,865,4,"r1"
"275",45,865,5,"r1"
"276",55,865,9,"r1"
"277",65,865,2,"r1"
"278",75,865,9,"r1"
"279",85,865,7,"r1"
"280",95,865,5,"r1"
"281",105,865,7,"r1"
"282",115,865,10,"r1"
"283",125,865,2,"r1"
"284",135,865,8,"r1"
"285",145,865,8,"r1"
"286",155,865,10,"r1"
"287",165,865,9,"r1"
"288",175,865,8,"r1"
"289",185,865,2,"r1"
"290",195,865,9,"r1"
"291",205,865,3,"r1"
"292",215,865,8,"r1"
